movieId = 1
min support - 0.1
min confidence - 0.8
max length - 3.0
{2} -> {1} (conf: 1.000, supp: 0.104, lift: 1.000, conv: 0.000)
{6} -> {1} (conf: 1.000, supp: 0.179, lift: 1.000, conv: 0.000)
{10} -> {1} (conf: 1.000, supp: 0.142, lift: 1.000, conv: 0.000)
{11} -> {1} (conf: 1.000, supp: 0.124, lift: 1.000, conv: 0.000)
{16} -> {1} (conf: 1.000, supp: 0.114, lift: 1.000, conv: 0.000)
{17} -> {1} (conf: 1.000, supp: 0.168, lift: 1.000, conv: 0.000)
{21} -> {1} (conf: 1.000, supp: 0.154, lift: 1.000, conv: 0.000)
{25} -> {1} (conf: 1.000, supp: 0.153, lift: 1.000, conv: 0.000)
{32} -> {1} (conf: 1.000, supp: 0.343, lift: 1.000, conv: 0.000)
{34} -> {1} (conf: 1.000, supp: 0.250, lift: 1.000, conv: 0.000)
{36} -> {1} (conf: 1.000, supp: 0.176, lift: 1.000, conv: 0.000)
{39} -> {1} (conf: 1.000, supp: 0.152, lift: 1.000, conv: 0.000)
{47} -> {1} (conf: 1.000, supp: 0.339, lift: 1.000, conv: 0.000)
{50} -> {1} (conf: 1.000, supp: 0.393, lift: 1.000, conv: 0.000)
{62} -> {1} (conf: 1.000, supp: 0.153, lift: 1.000, conv: 0.000)
{104} -> {1} (conf: 1.000, supp: 0.118, lift: 1.000, conv: 0.000)
{110} -> {1} (conf: 1.000, supp: 0.392, lift: 1.000, conv: 0.000)
{111} -> {1} (conf: 1.000, supp: 0.189, lift: 1.000, conv: 0.000)
{141} -> {1} (conf: 1.000, supp: 0.149, lift: 1.000, conv: 0.000)
{150} -> {1} (conf: 1.000, supp: 0.359, lift: 1.000, conv: 0.000)
{161} -> {1} (conf: 1.000, supp: 0.141, lift: 1.000, conv: 0.000)
{165} -> {1} (conf: 1.000, supp: 0.157, lift: 1.000, conv: 0.000)
{223} -> {1} (conf: 1.000, supp: 0.190, lift: 1.000, conv: 0.000)
{231} -> {1} (conf: 1.000, supp: 0.114, lift: 1.000, conv: 0.000)
{235} -> {1} (conf: 1.000, supp: 0.119, lift: 1.000, conv: 0.000)
{253} -> {1} (conf: 1.000, supp: 0.135, lift: 1.000, conv: 0.000)
{260} -> {1} (conf: 1.000, supp: 0.523, lift: 1.000, conv: 0.000)
{292} -> {1} (conf: 1.000, supp: 0.104, lift: 1.000, conv: 0.000)
{293} -> {1} (conf: 1.000, supp: 0.206, lift: 1.000, conv: 0.000)
{296} -> {1} (conf: 1.000, supp: 0.492, lift: 1.000, conv: 0.000)
{300} -> {1} (conf: 1.000, supp: 0.130, lift: 1.000, conv: 0.000)
