movieId = 4
min support - 0.3
min confidence - 0.9
max length - 3.0
{1} -> {4} (conf: 1.000, supp: 0.373, lift: 1.000, conv: 0.000)
{11} -> {4} (conf: 1.000, supp: 0.395, lift: 1.000, conv: 0.000)
{17} -> {4} (conf: 1.000, supp: 0.357, lift: 1.000, conv: 0.000)
{34} -> {4} (conf: 1.000, supp: 0.402, lift: 1.000, conv: 0.000)
{36} -> {4} (conf: 1.000, supp: 0.346, lift: 1.000, conv: 0.000)
{39} -> {4} (conf: 1.000, supp: 0.403, lift: 1.000, conv: 0.000)
{47} -> {4} (conf: 1.000, supp: 0.376, lift: 1.000, conv: 0.000)
{50} -> {4} (conf: 1.000, supp: 0.365, lift: 1.000, conv: 0.000)
{62} -> {4} (conf: 1.000, supp: 0.376, lift: 1.000, conv: 0.000)
{110} -> {4} (conf: 1.000, supp: 0.452, lift: 1.000, conv: 0.000)
{141} -> {4} (conf: 1.000, supp: 0.403, lift: 1.000, conv: 0.000)
{150} -> {4} (conf: 1.000, supp: 0.522, lift: 1.000, conv: 0.000)
{161} -> {4} (conf: 1.000, supp: 0.324, lift: 1.000, conv: 0.000)
{261} -> {4} (conf: 1.000, supp: 0.343, lift: 1.000, conv: 0.000)
{266} -> {4} (conf: 1.000, supp: 0.331, lift: 1.000, conv: 0.000)
{296} -> {4} (conf: 1.000, supp: 0.437, lift: 1.000, conv: 0.000)
{318} -> {4} (conf: 1.000, supp: 0.562, lift: 1.000, conv: 0.000)
{339} -> {4} (conf: 1.000, supp: 0.415, lift: 1.000, conv: 0.000)
{349} -> {4} (conf: 1.000, supp: 0.329, lift: 1.000, conv: 0.000)
{350} -> {4} (conf: 1.000, supp: 0.303, lift: 1.000, conv: 0.000)
{356} -> {4} (conf: 1.000, supp: 0.602, lift: 1.000, conv: 0.000)
{357} -> {4} (conf: 1.000, supp: 0.370, lift: 1.000, conv: 0.000)
{364} -> {4} (conf: 1.000, supp: 0.461, lift: 1.000, conv: 0.000)
{377} -> {4} (conf: 1.000, supp: 0.427, lift: 1.000, conv: 0.000)
{380} -> {4} (conf: 1.000, supp: 0.353, lift: 1.000, conv: 0.000)
{454} -> {4} (conf: 1.000, supp: 0.349, lift: 1.000, conv: 0.000)
{457} -> {4} (conf: 1.000, supp: 0.467, lift: 1.000, conv: 0.000)
{477} -> {4} (conf: 1.000, supp: 0.318, lift: 1.000, conv: 0.000)
{480} -> {4} (conf: 1.000, supp: 0.424, lift: 1.000, conv: 0.000)
{500} -> {4} (conf: 1.000, supp: 0.468, lift: 1.000, conv: 0.000)
{508} -> {4} (conf: 1.000, supp: 0.425, lift: 1.000, conv: 0.000)
{527} -> {4} (conf: 1.000, supp: 0.455, lift: 1.000, conv: 0.000)
{539} -> {4} (conf: 1.000, supp: 0.486, lift: 1.000, conv: 0.000)
{587} -> {4} (conf: 1.000, supp: 0.473, lift: 1.000, conv: 0.000)
{588} -> {4} (conf: 1.000, supp: 0.463, lift: 1.000, conv: 0.000)
{589} -> {4} (conf: 1.000, supp: 0.331, lift: 1.000, conv: 0.000)
{590} -> {4} (conf: 1.000, supp: 0.481, lift: 1.000, conv: 0.000)
{593} -> {4} (conf: 1.000, supp: 0.529, lift: 1.000, conv: 0.000)
{595} -> {4} (conf: 1.000, supp: 0.468, lift: 1.000, conv: 0.000)
{597} -> {4} (conf: 1.000, supp: 0.481, lift: 1.000, conv: 0.000)
{608} -> {4} (conf: 1.000, supp: 0.310, lift: 1.000, conv: 0.000)
{736} -> {4} (conf: 1.000, supp: 0.323, lift: 1.000, conv: 0.000)
{780} -> {4} (conf: 1.000, supp: 0.350, lift: 1.000, conv: 0.000)
{110, 150} -> {4} (conf: 1.000, supp: 0.308, lift: 1.000, conv: 0.000)
{110, 318} -> {4} (conf: 1.000, supp: 0.313, lift: 1.000, conv: 0.000)
{110, 356} -> {4} (conf: 1.000, supp: 0.339, lift: 1.000, conv: 0.000)
{150, 318} -> {4} (conf: 1.000, supp: 0.354, lift: 1.000, conv: 0.000)
{150, 356} -> {4} (conf: 1.000, supp: 0.367, lift: 1.000, conv: 0.000)
{150, 539} -> {4} (conf: 1.000, supp: 0.313, lift: 1.000, conv: 0.000)
{150, 590} -> {4} (conf: 1.000, supp: 0.326, lift: 1.000, conv: 0.000)
{150, 593} -> {4} (conf: 1.000, supp: 0.323, lift: 1.000, conv: 0.000)
{150, 595} -> {4} (conf: 1.000, supp: 0.303, lift: 1.000, conv: 0.000)
{296, 318} -> {4} (conf: 1.000, supp: 0.318, lift: 1.000, conv: 0.000)
{296, 593} -> {4} (conf: 1.000, supp: 0.308, lift: 1.000, conv: 0.000)
{318, 356} -> {4} (conf: 1.000, supp: 0.389, lift: 1.000, conv: 0.000)
{318, 457} -> {4} (conf: 1.000, supp: 0.323, lift: 1.000, conv: 0.000)
{318, 508} -> {4} (conf: 1.000, supp: 0.313, lift: 1.000, conv: 0.000)
{318, 527} -> {4} (conf: 1.000, supp: 0.326, lift: 1.000, conv: 0.000)
{318, 539} -> {4} (conf: 1.000, supp: 0.313, lift: 1.000, conv: 0.000)
{318, 588} -> {4} (conf: 1.000, supp: 0.301, lift: 1.000, conv: 0.000)
{318, 590} -> {4} (conf: 1.000, supp: 0.346, lift: 1.000, conv: 0.000)
{318, 593} -> {4} (conf: 1.000, supp: 0.359, lift: 1.000, conv: 0.000)
{318, 597} -> {4} (conf: 1.000, supp: 0.308, lift: 1.000, conv: 0.000)
{356, 364} -> {4} (conf: 1.000, supp: 0.360, lift: 1.000, conv: 0.000)
{356, 377} -> {4} (conf: 1.000, supp: 0.353, lift: 1.000, conv: 0.000)
{356, 457} -> {4} (conf: 1.000, supp: 0.365, lift: 1.000, conv: 0.000)
{356, 480} -> {4} (conf: 1.000, supp: 0.341, lift: 1.000, conv: 0.000)
{356, 500} -> {4} (conf: 1.000, supp: 0.398, lift: 1.000, conv: 0.000)
{356, 508} -> {4} (conf: 1.000, supp: 0.344, lift: 1.000, conv: 0.000)
{356, 527} -> {4} (conf: 1.000, supp: 0.347, lift: 1.000, conv: 0.000)
{356, 539} -> {4} (conf: 1.000, supp: 0.402, lift: 1.000, conv: 0.000)
{356, 587} -> {4} (conf: 1.000, supp: 0.409, lift: 1.000, conv: 0.000)
{356, 588} -> {4} (conf: 1.000, supp: 0.320, lift: 1.000, conv: 0.000)
{356, 590} -> {4} (conf: 1.000, supp: 0.341, lift: 1.000, conv: 0.000)
{356, 593} -> {4} (conf: 1.000, supp: 0.372, lift: 1.000, conv: 0.000)
{356, 595} -> {4} (conf: 1.000, supp: 0.336, lift: 1.000, conv: 0.000)
{356, 597} -> {4} (conf: 1.000, supp: 0.401, lift: 1.000, conv: 0.000)
{364, 539} -> {4} (conf: 1.000, supp: 0.305, lift: 1.000, conv: 0.000)
{364, 588} -> {4} (conf: 1.000, supp: 0.324, lift: 1.000, conv: 0.000)
{364, 595} -> {4} (conf: 1.000, supp: 0.329, lift: 1.000, conv: 0.000)
{377, 457} -> {4} (conf: 1.000, supp: 0.301, lift: 1.000, conv: 0.000)
{377, 587} -> {4} (conf: 1.000, supp: 0.304, lift: 1.000, conv: 0.000)
{377, 597} -> {4} (conf: 1.000, supp: 0.304, lift: 1.000, conv: 0.000)
{457, 593} -> {4} (conf: 1.000, supp: 0.339, lift: 1.000, conv: 0.000)
{500, 539} -> {4} (conf: 1.000, supp: 0.341, lift: 1.000, conv: 0.000)
{500, 587} -> {4} (conf: 1.000, supp: 0.326, lift: 1.000, conv: 0.000)
{500, 597} -> {4} (conf: 1.000, supp: 0.318, lift: 1.000, conv: 0.000)
{527, 539} -> {4} (conf: 1.000, supp: 0.303, lift: 1.000, conv: 0.000)
{527, 593} -> {4} (conf: 1.000, supp: 0.316, lift: 1.000, conv: 0.000)
{539, 587} -> {4} (conf: 1.000, supp: 0.336, lift: 1.000, conv: 0.000)
{539, 593} -> {4} (conf: 1.000, supp: 0.314, lift: 1.000, conv: 0.000)
{539, 597} -> {4} (conf: 1.000, supp: 0.356, lift: 1.000, conv: 0.000)
{587, 593} -> {4} (conf: 1.000, supp: 0.316, lift: 1.000, conv: 0.000)
{587, 597} -> {4} (conf: 1.000, supp: 0.356, lift: 1.000, conv: 0.000)
{588, 595} -> {4} (conf: 1.000, supp: 0.352, lift: 1.000, conv: 0.000)
{590, 593} -> {4} (conf: 1.000, supp: 0.321, lift: 1.000, conv: 0.000)
{593, 597} -> {4} (conf: 1.000, supp: 0.314, lift: 1.000, conv: 0.000)
