movieId = [1, 2, 3]
min support - 0.3
min confidence - 0.9
max length - 3.0
{3114} -> {1} (conf: 0.922, supp: 0.304, lift: 1.380, conv: 4.247)
{1196} -> {260} (conf: 0.902, supp: 0.556, lift: 1.401, conv: 3.622)
{1210} -> {260} (conf: 0.908, supp: 0.524, lift: 1.410, conv: 3.864)
{1089} -> {296} (conf: 0.908, supp: 0.360, lift: 1.508, conv: 4.325)
{1221} -> {858} (conf: 0.966, supp: 0.339, lift: 2.039, conv: 15.472)
{1210} -> {1196} (conf: 0.904, supp: 0.522, lift: 1.466, conv: 4.009)
{1291} -> {1198} (conf: 0.906, supp: 0.497, lift: 1.446, conv: 3.985)
{5952} -> {4993} (conf: 0.942, supp: 0.391, lift: 2.059, conv: 9.417)
{7153} -> {4993} (conf: 0.932, supp: 0.375, lift: 2.036, conv: 7.956)
{7153} -> {5952} (conf: 0.913, supp: 0.368, lift: 2.202, conv: 6.757)
{1, 1196} -> {260} (conf: 0.920, supp: 0.405, lift: 1.430, conv: 4.463)
{1, 1210} -> {260} (conf: 0.918, supp: 0.385, lift: 1.426, conv: 4.326)
{1, 1210} -> {1196} (conf: 0.913, supp: 0.383, lift: 1.480, conv: 4.405)
{1, 1291} -> {1198} (conf: 0.926, supp: 0.373, lift: 1.478, conv: 5.062)
{47, 1196} -> {260} (conf: 0.909, supp: 0.331, lift: 1.412, conv: 3.899)
{47, 1210} -> {260} (conf: 0.918, supp: 0.311, lift: 1.426, conv: 4.347)
{47, 1210} -> {1196} (conf: 0.927, supp: 0.314, lift: 1.502, conv: 5.220)
{50, 1196} -> {260} (conf: 0.907, supp: 0.343, lift: 1.409, conv: 3.832)
{50, 1210} -> {260} (conf: 0.921, supp: 0.315, lift: 1.431, conv: 4.497)
{50, 1210} -> {1196} (conf: 0.929, supp: 0.318, lift: 1.506, conv: 5.415)
{50, 1291} -> {1198} (conf: 0.915, supp: 0.310, lift: 1.460, conv: 4.398)
{110, 1196} -> {260} (conf: 0.920, supp: 0.377, lift: 1.429, conv: 4.437)
