movieId = 2
min support - 0.1
min confidence - 0.8
max length - 3.0
{1} -> {2} (conf: 1.000, supp: 0.475, lift: 1.000, conv: 0.000)
{2355} -> {1} (conf: 0.812, supp: 0.143, lift: 1.711, conv: 2.793)
{3114} -> {1} (conf: 0.893, supp: 0.174, lift: 1.881, conv: 4.891)
{6} -> {2} (conf: 1.000, supp: 0.166, lift: 1.000, conv: 0.000)
{7} -> {2} (conf: 1.000, supp: 0.109, lift: 1.000, conv: 0.000)
{10} -> {2} (conf: 1.000, supp: 0.287, lift: 1.000, conv: 0.000)
{11} -> {2} (conf: 1.000, supp: 0.236, lift: 1.000, conv: 0.000)
{16} -> {2} (conf: 1.000, supp: 0.141, lift: 1.000, conv: 0.000)
{17} -> {2} (conf: 1.000, supp: 0.177, lift: 1.000, conv: 0.000)
{19} -> {2} (conf: 1.000, supp: 0.118, lift: 1.000, conv: 0.000)
{21} -> {2} (conf: 1.000, supp: 0.207, lift: 1.000, conv: 0.000)
{22} -> {2} (conf: 1.000, supp: 0.105, lift: 1.000, conv: 0.000)
{25} -> {2} (conf: 1.000, supp: 0.120, lift: 1.000, conv: 0.000)
{31} -> {2} (conf: 1.000, supp: 0.109, lift: 1.000, conv: 0.000)
{32} -> {2} (conf: 1.000, supp: 0.349, lift: 1.000, conv: 0.000)
{34} -> {2} (conf: 1.000, supp: 0.335, lift: 1.000, conv: 0.000)
{36} -> {2} (conf: 1.000, supp: 0.152, lift: 1.000, conv: 0.000)
{39} -> {2} (conf: 1.000, supp: 0.201, lift: 1.000, conv: 0.000)
{47} -> {2} (conf: 1.000, supp: 0.383, lift: 1.000, conv: 0.000)
{48} -> {2} (conf: 1.000, supp: 0.124, lift: 1.000, conv: 0.000)
{50} -> {2} (conf: 1.000, supp: 0.348, lift: 1.000, conv: 0.000)
{60} -> {2} (conf: 1.000, supp: 0.105, lift: 1.000, conv: 0.000)
{62} -> {2} (conf: 1.000, supp: 0.231, lift: 1.000, conv: 0.000)
{95} -> {2} (conf: 1.000, supp: 0.167, lift: 1.000, conv: 0.000)
