movieId = 2
min support - 0.3
min confidence - 0.9
max length - 3.0
{1} -> {2} (conf: 1.000, supp: 0.475, lift: 1.000, conv: 0.000)
{32} -> {2} (conf: 1.000, supp: 0.349, lift: 1.000, conv: 0.000)
{34} -> {2} (conf: 1.000, supp: 0.335, lift: 1.000, conv: 0.000)
{47} -> {2} (conf: 1.000, supp: 0.383, lift: 1.000, conv: 0.000)
{50} -> {2} (conf: 1.000, supp: 0.348, lift: 1.000, conv: 0.000)
{110} -> {2} (conf: 1.000, supp: 0.521, lift: 1.000, conv: 0.000)
{150} -> {2} (conf: 1.000, supp: 0.517, lift: 1.000, conv: 0.000)
{165} -> {2} (conf: 1.000, supp: 0.314, lift: 1.000, conv: 0.000)
{260} -> {2} (conf: 1.000, supp: 0.390, lift: 1.000, conv: 0.000)
{296} -> {2} (conf: 1.000, supp: 0.437, lift: 1.000, conv: 0.000)
{316} -> {2} (conf: 1.000, supp: 0.337, lift: 1.000, conv: 0.000)
{318} -> {2} (conf: 1.000, supp: 0.523, lift: 1.000, conv: 0.000)
{349} -> {2} (conf: 1.000, supp: 0.330, lift: 1.000, conv: 0.000)
{356} -> {2} (conf: 1.000, supp: 0.649, lift: 1.000, conv: 0.000)
{364} -> {2} (conf: 1.000, supp: 0.526, lift: 1.000, conv: 0.000)
{367} -> {2} (conf: 1.000, supp: 0.341, lift: 1.000, conv: 0.000)
{377} -> {2} (conf: 1.000, supp: 0.431, lift: 1.000, conv: 0.000)
{380} -> {2} (conf: 1.000, supp: 0.410, lift: 1.000, conv: 0.000)
{457} -> {2} (conf: 1.000, supp: 0.544, lift: 1.000, conv: 0.000)
{480} -> {2} (conf: 1.000, supp: 0.637, lift: 1.000, conv: 0.000)
{500} -> {2} (conf: 1.000, supp: 0.436, lift: 1.000, conv: 0.000)
{527} -> {2} (conf: 1.000, supp: 0.427, lift: 1.000, conv: 0.000)
{539} -> {2} (conf: 1.000, supp: 0.336, lift: 1.000, conv: 0.000)
{587} -> {2} (conf: 1.000, supp: 0.358, lift: 1.000, conv: 0.000)
{588} -> {2} (conf: 1.000, supp: 0.488, lift: 1.000, conv: 0.000)
{589} -> {2} (conf: 1.000, supp: 0.517, lift: 1.000, conv: 0.000)
{590} -> {2} (conf: 1.000, supp: 0.420, lift: 1.000, conv: 0.000)
{592} -> {2} (conf: 1.000, supp: 0.336, lift: 1.000, conv: 0.000)
{593} -> {2} (conf: 1.000, supp: 0.521, lift: 1.000, conv: 0.000)
{595} -> {2} (conf: 1.000, supp: 0.408, lift: 1.000, conv: 0.000)
{597} -> {2} (conf: 1.000, supp: 0.320, lift: 1.000, conv: 0.000)
{736} -> {2} (conf: 1.000, supp: 0.302, lift: 1.000, conv: 0.000)
{780} -> {2} (conf: 1.000, supp: 0.382, lift: 1.000, conv: 0.000)
{1196} -> {2} (conf: 1.000, supp: 0.351, lift: 1.000, conv: 0.000)
{1198} -> {2} (conf: 1.000, supp: 0.350, lift: 1.000, conv: 0.000)
{1210} -> {2} (conf: 1.000, supp: 0.357, lift: 1.000, conv: 0.000)
{1270} -> {2} (conf: 1.000, supp: 0.351, lift: 1.000, conv: 0.000)
{1291} -> {2} (conf: 1.000, supp: 0.300, lift: 1.000, conv: 0.000)
{1580} -> {2} (conf: 1.000, supp: 0.305, lift: 1.000, conv: 0.000)
{2571} -> {2} (conf: 1.000, supp: 0.340, lift: 1.000, conv: 0.000)
{1196} -> {260} (conf: 0.912, supp: 0.320, lift: 2.337, conv: 6.894)
{1, 356} -> {2} (conf: 1.000, supp: 0.328, lift: 1.000, conv: 0.000)
{1, 364} -> {2} (conf: 1.000, supp: 0.302, lift: 1.000, conv: 0.000)
{1, 480} -> {2} (conf: 1.000, supp: 0.317, lift: 1.000, conv: 0.000)
{110, 150} -> {2} (conf: 1.000, supp: 0.325, lift: 1.000, conv: 0.000)
{110, 318} -> {2} (conf: 1.000, supp: 0.335, lift: 1.000, conv: 0.000)
{110, 356} -> {2} (conf: 1.000, supp: 0.392, lift: 1.000, conv: 0.000)
{110, 364} -> {2} (conf: 1.000, supp: 0.302, lift: 1.000, conv: 0.000)
{110, 457} -> {2} (conf: 1.000, supp: 0.351, lift: 1.000, conv: 0.000)
{110, 480} -> {2} (conf: 1.000, supp: 0.378, lift: 1.000, conv: 0.000)
{110, 589} -> {2} (conf: 1.000, supp: 0.325, lift: 1.000, conv: 0.000)
{110, 593} -> {2} (conf: 1.000, supp: 0.323, lift: 1.000, conv: 0.000)
{150, 318} -> {2} (conf: 1.000, supp: 0.315, lift: 1.000, conv: 0.000)
{150, 356} -> {2} (conf: 1.000, supp: 0.390, lift: 1.000, conv: 0.000)
{150, 364} -> {2} (conf: 1.000, supp: 0.307, lift: 1.000, conv: 0.000)
{150, 457} -> {2} (conf: 1.000, supp: 0.354, lift: 1.000, conv: 0.000)
{150, 480} -> {2} (conf: 1.000, supp: 0.373, lift: 1.000, conv: 0.000)
{150, 593} -> {2} (conf: 1.000, supp: 0.304, lift: 1.000, conv: 0.000)
{260, 1196} -> {2} (conf: 1.000, supp: 0.320, lift: 1.000, conv: 0.000)
{2, 1196} -> {260} (conf: 0.912, supp: 0.320, lift: 2.337, conv: 6.894)
{1196} -> {2, 260} (conf: 0.912, supp: 0.320, lift: 2.337, conv: 6.894)
{260, 1210} -> {2} (conf: 1.000, supp: 0.315, lift: 1.000, conv: 0.000)
{296, 318} -> {2} (conf: 1.000, supp: 0.307, lift: 1.000, conv: 0.000)
{296, 356} -> {2} (conf: 1.000, supp: 0.319, lift: 1.000, conv: 0.000)
{296, 593} -> {2} (conf: 1.000, supp: 0.305, lift: 1.000, conv: 0.000)
{318, 356} -> {2} (conf: 1.000, supp: 0.399, lift: 1.000, conv: 0.000)
{318, 364} -> {2} (conf: 1.000, supp: 0.305, lift: 1.000, conv: 0.000)
{318, 457} -> {2} (conf: 1.000, supp: 0.339, lift: 1.000, conv: 0.000)
{318, 480} -> {2} (conf: 1.000, supp: 0.357, lift: 1.000, conv: 0.000)
{318, 589} -> {2} (conf: 1.000, supp: 0.308, lift: 1.000, conv: 0.000)
{318, 593} -> {2} (conf: 1.000, supp: 0.348, lift: 1.000, conv: 0.000)
{356, 364} -> {2} (conf: 1.000, supp: 0.394, lift: 1.000, conv: 0.000)
{356, 377} -> {2} (conf: 1.000, supp: 0.340, lift: 1.000, conv: 0.000)
{356, 457} -> {2} (conf: 1.000, supp: 0.406, lift: 1.000, conv: 0.000)
{356, 480} -> {2} (conf: 1.000, supp: 0.478, lift: 1.000, conv: 0.000)
{356, 500} -> {2} (conf: 1.000, supp: 0.350, lift: 1.000, conv: 0.000)
{356, 527} -> {2} (conf: 1.000, supp: 0.340, lift: 1.000, conv: 0.000)
{356, 587} -> {2} (conf: 1.000, supp: 0.301, lift: 1.000, conv: 0.000)
{356, 588} -> {2} (conf: 1.000, supp: 0.344, lift: 1.000, conv: 0.000)
{356, 589} -> {2} (conf: 1.000, supp: 0.388, lift: 1.000, conv: 0.000)
{356, 590} -> {2} (conf: 1.000, supp: 0.317, lift: 1.000, conv: 0.000)
{356, 593} -> {2} (conf: 1.000, supp: 0.394, lift: 1.000, conv: 0.000)
{364, 457} -> {2} (conf: 1.000, supp: 0.320, lift: 1.000, conv: 0.000)
{364, 480} -> {2} (conf: 1.000, supp: 0.380, lift: 1.000, conv: 0.000)
{364, 588} -> {2} (conf: 1.000, supp: 0.368, lift: 1.000, conv: 0.000)
{364, 595} -> {2} (conf: 1.000, supp: 0.321, lift: 1.000, conv: 0.000)
{377, 457} -> {2} (conf: 1.000, supp: 0.327, lift: 1.000, conv: 0.000)
{377, 480} -> {2} (conf: 1.000, supp: 0.351, lift: 1.000, conv: 0.000)
{377, 589} -> {2} (conf: 1.000, supp: 0.303, lift: 1.000, conv: 0.000)
{380, 480} -> {2} (conf: 1.000, supp: 0.309, lift: 1.000, conv: 0.000)
{457, 480} -> {2} (conf: 1.000, supp: 0.414, lift: 1.000, conv: 0.000)
{457, 589} -> {2} (conf: 1.000, supp: 0.355, lift: 1.000, conv: 0.000)
{457, 593} -> {2} (conf: 1.000, supp: 0.345, lift: 1.000, conv: 0.000)
{480, 500} -> {2} (conf: 1.000, supp: 0.334, lift: 1.000, conv: 0.000)
{480, 527} -> {2} (conf: 1.000, supp: 0.314, lift: 1.000, conv: 0.000)
{480, 588} -> {2} (conf: 1.000, supp: 0.337, lift: 1.000, conv: 0.000)
{480, 589} -> {2} (conf: 1.000, supp: 0.415, lift: 1.000, conv: 0.000)
{480, 590} -> {2} (conf: 1.000, supp: 0.308, lift: 1.000, conv: 0.000)
{480, 593} -> {2} (conf: 1.000, supp: 0.371, lift: 1.000, conv: 0.000)
{480, 780} -> {2} (conf: 1.000, supp: 0.310, lift: 1.000, conv: 0.000)
{588, 595} -> {2} (conf: 1.000, supp: 0.318, lift: 1.000, conv: 0.000)
{589, 593} -> {2} (conf: 1.000, supp: 0.324, lift: 1.000, conv: 0.000)
{1196, 1210} -> {2} (conf: 1.000, supp: 0.311, lift: 1.000, conv: 0.000)
