min support - 0.1 
min confidence - 0.8 
max length - 6.0
{1089} -> {296} (conf: 0.857, supp: 0.145, lift: 2.146, conv: 4.203)
{1196} -> {260} (conf: 0.835, supp: 0.231, lift: 2.536, conv: 4.068)
{1291} -> {1198} (conf: 0.846, supp: 0.156, lift: 3.087, conv: 4.727)
{1210} -> {260} (conf: 0.822, supp: 0.218, lift: 2.496, conv: 3.773)
{1221} -> {858} (conf: 0.913, supp: 0.157, lift: 3.439, conv: 8.466)
{5952} -> {4993} (conf: 0.875, supp: 0.182, lift: 3.793, conv: 6.170)
{7153} -> {4993} (conf: 0.877, supp: 0.172, lift: 3.800, conv: 6.260)
{7153} -> {5952} (conf: 0.854, supp: 0.167, lift: 4.095, conv: 5.406)
{5952} -> {7153} (conf: 0.803, supp: 0.167, lift: 4.095, conv: 4.082)
{1, 1210} -> {1196} (conf: 0.815, supp: 0.103, lift: 2.940, conv: 3.907)
{1, 1196} -> {1210} (conf: 0.820, supp: 0.103, lift: 3.097, conv: 4.091)
{1, 1196} -> {260} (conf: 0.894, supp: 0.113, lift: 2.714, conv: 6.317)
{1, 1210} -> {260} (conf: 0.891, supp: 0.113, lift: 2.705, conv: 6.152)
{1036, 260} -> {1196} (conf: 0.885, supp: 0.104, lift: 3.193, conv: 6.289)
{1036, 1196} -> {260} (conf: 0.898, supp: 0.104, lift: 2.725, conv: 6.543)
{1089, 2571} -> {296} (conf: 0.896, supp: 0.101, lift: 2.243, conv: 5.772)
{1089, 2959} -> {296} (conf: 0.917, supp: 0.101, lift: 2.297, conv: 7.270)
{1089, 318} -> {296} (conf: 0.908, supp: 0.104, lift: 2.274, conv: 6.547)
{1089, 50} -> {296} (conf: 0.896, supp: 0.106, lift: 2.244, conv: 5.799)
{1089, 593} -> {296} (conf: 0.899, supp: 0.107, lift: 2.250, conv: 5.929)
{110, 1210} -> {1196} (conf: 0.862, supp: 0.109, lift: 3.110, conv: 5.241)
{110, 1196} -> {1210} (conf: 0.819, supp: 0.109, lift: 3.091, conv: 4.054)
{110, 260} -> {1196} (conf: 0.825, supp: 0.117, lift: 2.978, conv: 4.138)
{110, 1196} -> {260} (conf: 0.882, supp: 0.117, lift: 2.678, conv: 5.691)
{110, 1210} -> {260} (conf: 0.868, supp: 0.110, lift: 2.634, conv: 5.068)
{110, 50} -> {318} (conf: 0.809, supp: 0.114, lift: 1.922, conv: 3.026)
{1136, 260} -> {1196} (conf: 0.868, supp: 0.115, lift: 3.133, conv: 5.495)
